t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
   459.90	|	  5402.33  9202.53 13099.45	|	     9.22    21.39    34.79	|	  7398.57 10222.46 14536.07	|	    13.18    33.97   -23.58	|	  9009.84 12777.42 15502.06	|	    34.74     2.18    25.77	|
   469.90	|	  5499.07  9419.15 13450.23	|	    10.17    21.96    35.34	|	  7493.42 10544.21 14277.68	|	     5.43    30.09   -27.88	|	  9348.58 12790.10 15754.10	|	    32.99     0.39    24.63	|
   479.90	|	  5606.48  9642.27 13805.58	|	    11.35    22.69    35.69	|	  7499.76 10818.07 13985.06	|	    -4.51    24.35   -30.18	|	  9669.28 12785.78 15994.67	|	    31.14    -1.21    23.48	|
   489.90	|	  5726.68  9873.58 14162.70	|	    12.71    23.59    35.66	|	  7397.31 11025.01 13686.16	|	   -16.16    16.77   -28.84	|	  9971.20 12766.47 16223.90	|	    29.23    -2.62    22.37	|
   499.90	|	  5860.67 10114.41 14517.03	|	    14.07    24.57    35.11	|	  7176.47 11150.03 13425.76	|	   -27.80     8.19   -22.31	|	 10253.76 12733.94 16442.41	|	    27.27    -3.86    21.34	|
   509.90	|	  6007.24 10364.79 14863.15	|	    15.18    25.47    34.04	|	  6850.00 11191.14 13257.48	|	   -36.84     0.31   -10.61	|	 10516.22 12689.60 16650.97	|	    25.21    -4.99    20.38	|
   519.90	|	  6162.77 10623.03 15196.77	|	    15.85    26.13    32.66	|	  6454.95 11164.16 13223.51	|	   -41.35    -5.22     4.04	|	 10757.63 12634.58 16850.24	|	    23.05    -6.00    19.48	|
   529.90	|	  6322.70 10886.28 15516.47	|	    16.07    26.48    31.30	|	  6038.37 11096.53 13337.65	|	   -41.31    -7.84    18.55	|	 10976.77 12569.96 17040.79	|	    20.76    -6.91    18.63	|
   539.90	|	  6483.25 11151.72 15823.49	|	    16.00    26.58    30.15	|	  5639.30 11015.42 13587.09	|	   -38.12    -8.06    30.89	|	 11172.27 12496.88 17223.04	|	    18.32    -7.69    17.82	|
   549.90	|	  6642.22 11417.25 16120.36	|	    15.78    26.51    29.27	|	  5281.38 10940.50 13946.20	|	   -33.30    -6.74    40.47	|	 11342.66 12416.63 17397.37	|	    15.73    -8.34    17.05	|
   559.90	|	  6798.70 11681.59 16409.71	|	    15.52    26.35    28.64	|	  4975.14 10883.26 14388.15	|	   -27.91    -4.62    47.54	|	 11486.44 12330.70 17564.12	|	    13.00    -8.82    16.31	|
   569.90	|	  6952.60 11943.99 16693.78	|	    15.27    26.13    28.20	|	  4723.02 10849.31 14890.21	|	   -22.54    -2.14    52.58	|	 11602.10 12240.80 17723.69	|	    10.11    -9.13    15.61	|
   579.90	|	  7104.24 12204.07 16974.28	|	    15.07    25.88    27.92	|	  4523.34 10840.69 15434.73	|	   -17.45     0.42    56.10	|	 11688.16 12148.88 17876.50	|	     7.08    -9.22    14.96	|
   589.90	|	  7254.09 12461.59 17252.47	|	    14.91    25.62    27.74	|	  4372.67 10857.52 16008.50	|	   -12.75     2.93    58.49	|	 11743.19 12057.14 18023.05	|	     3.91    -9.08    14.36	|
   599.90	|	  7402.68 12716.38 17529.29	|	    14.81    25.34    27.64	|	  4267.02 10898.95 16601.72	|	    -8.45     5.33    60.04	|	 11765.86 11968.06 18163.93	|	     0.61    -8.68    13.83	|
   609.90	|	  7550.53 12968.29 17805.37	|	    14.76    25.04    27.59	|	  4202.48 10963.69 17207.15	|	    -4.52     7.59    60.96	|	 11754.92 11884.43 18299.85	|	    -2.81    -7.99    13.37	|
   619.90	|	  7698.11 13217.17 18081.19	|	    14.76    24.73    27.58	|	  4175.42 11050.32 17819.31	|	    -0.94     9.71    61.41	|	 11709.27 11809.34 18431.67	|	    -6.33    -6.97    13.01	|
   629.90	|	  7845.83 13462.80 18357.04	|	    14.79    24.39    27.60	|	  4182.60 11157.40 18434.10	|	     2.33    11.68    61.50	|	 11628.02 11746.27 18560.38	|	    -9.93    -5.58    12.75	|
   639.90	|	  7994.05 13704.94 18633.14	|	    14.86    24.03    27.63	|	  4221.15 11283.54 19048.32	|	     5.34    13.52    61.31	|	 11510.50 11699.04 18687.19	|	   -13.58    -3.79    12.63	|
   649.90	|	  8143.03 13943.28 18909.59	|	    14.94    23.63    27.66	|	  4288.57 11427.48 19659.46	|	     8.11    15.24    60.89	|	 11356.42 11671.94 18813.53	|	   -17.24    -1.55    12.66	|
   659.90	|	  8292.98 14177.48 19186.42	|	    15.05    23.20    27.70	|	  4382.69 11588.02 20265.54	|	    10.68    16.85    60.30	|	 11165.91 11669.67 18941.08	|	   -20.85     1.18    12.88	|
