t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
  2539.90	|	 30210.25 52369.58 73686.29	|	     6.12    17.19    31.81	|	 31156.54 52266.19 75774.55	|	    44.55    53.54    -2.36	|	 29762.66 59043.89 76862.25	|	    35.41    24.30    34.55	|
  2549.90	|	 30274.64 52542.09 74010.49	|	     6.82    17.35    33.03	|	 31570.06 52801.53 75692.98	|	    37.55    53.14   -13.95	|	 30117.19 59280.76 77205.00	|	    35.49    23.08    34.00	|
  2559.90	|	 30347.85 52717.50 74346.51	|	     7.89    17.78    34.14	|	 31895.06 53319.87 75498.96	|	    26.83    50.01   -24.50	|	 30472.29 59505.43 77542.28	|	    35.52    21.86    33.45	|
  2569.90	|	 30433.48 52898.84 74692.16	|	     9.28    18.54    34.91	|	 32096.10 53790.96 75214.50	|	    12.99    43.70   -31.61	|	 30827.50 59718.00 77874.06	|	    35.51    20.66    32.90	|
  2579.90	|	 30533.73 53089.06 75042.86	|	    10.77    19.54    35.13	|	 32151.62 54185.26 74885.33	|	    -1.81    34.86   -33.21	|	 31182.39 59918.58 78200.27	|	    35.46    19.46    32.34	|
  2589.90	|	 30648.21 53289.88 75392.74	|	    12.08    20.62    34.76	|	 32066.00 54485.47 74569.92	|	   -14.81    25.20   -29.01	|	 31536.49 60107.31 78520.85	|	    35.35    18.29    31.78	|
  2599.90	|	 30774.10 53501.19 75736.72	|	    13.03    21.61    33.99	|	 31867.83 54692.48 74318.94	|	   -24.16    16.46   -20.70	|	 31889.32 60284.34 78835.79	|	    35.20    17.12    31.21	|
  2609.90	|	 30907.54 53721.51 76071.86	|	    13.60    22.42    33.03	|	 31595.88 54820.86 74162.01	|	   -29.63     9.56   -10.55	|	 32240.41 60449.81 79145.10	|	    35.01    15.97    30.65	|
  2619.90	|	 31045.02 53948.86 76397.23	|	    13.85    23.02    32.05	|	 31285.85 54890.25 74108.36	|	   -31.93     4.63    -0.25	|	 32589.31 60603.84 79448.80	|	    34.77    14.83    30.09	|
  2629.90	|	 31183.86 54181.39 76713.20	|	    13.89    23.46    31.16	|	 30964.77 54919.14 74154.34	|	   -31.99     1.40     9.29	|	 32935.58 60746.50 79746.92	|	    34.48    13.70    29.53	|
  2639.90	|	 31322.29 54417.59 77020.72	|	    13.78    23.76    30.37	|	 30651.01 54922.52 74290.43	|	   -30.57    -0.53    17.74	|	 33278.79 60877.86 80039.49	|	    34.15    12.57    28.98	|
  2649.90	|	 31459.15 54656.32 77320.92	|	    13.58    23.97    29.69	|	 30356.38 54911.75 74505.36	|	   -28.24    -1.48    25.06	|	 33618.49 60997.96 80326.48	|	    33.78    11.45    28.42	|
  2659.90	|	 31593.78 54896.76 77614.90	|	    13.34    24.11    29.12	|	 30088.16 54895.21 74788.21	|	   -25.34    -1.72    31.34	|	 33954.27 61106.82 80607.88	|	    33.37    10.33    27.86	|
  2669.90	|	 31725.78 55138.28 77903.64	|	    13.06    24.19    28.64	|	 29850.72 54879.05 75129.12	|	   -22.11    -1.43    36.70	|	 34285.65 61204.48 80883.65	|	    32.90     9.21    27.29	|
  2679.90	|	 31854.94 55380.42 78188.02	|	    12.77    24.23    28.25	|	 29646.57 54867.82 75519.46	|	   -18.70    -0.76    41.25	|	 34612.19 61290.94 81153.71	|	    32.39     8.09    26.72	|
  2689.90	|	 31981.18 55622.85 78468.78	|	    12.48    24.25    27.92	|	 29477.07 54864.93 75951.79	|	   -15.19     0.22    45.11	|	 34933.37 61366.24 81418.01	|	    31.83     6.97    26.14	|
  2699.90	|	 32104.48 55865.30 78746.57	|	    12.18    24.24    27.65	|	 29342.85 54872.98 76419.67	|	   -11.65     1.42    48.37	|	 35248.70 61430.42 81676.46	|	    31.22     5.86    25.55	|
  2709.90	|	 32224.89 56107.56 79021.96	|	    11.90    24.21    27.44	|	 29244.09 54894.01 76917.51	|	    -8.10     2.81    51.11	|	 35557.63 61483.51 81928.95	|	    30.55     4.76    24.95	|
  2719.90	|	 32342.46 56349.46 79295.45	|	    11.62    24.17    27.27	|	 29180.71 54929.65 77440.40	|	    -4.58     4.34    53.39	|	 35859.60 61525.60 82175.41	|	    29.83     3.66    24.34	|
  2729.90	|	 32457.28 56590.86 79567.49	|	    11.35    24.11    27.14	|	 29152.46 54981.25 77983.99	|	    -1.08     6.00    55.26	|	 36154.01 61556.74 82415.71	|	    29.04     2.57    23.72	|
  2739.90	|	 32569.45 56831.64 79838.48	|	    11.09    24.04    27.06	|	 29159.03 55049.96 78544.33	|	     2.39     7.76    56.75	|	 36440.23 61577.06 82649.76	|	    28.19     1.49    23.09	|
  2749.90	|	 32679.06 57071.68 80108.78	|	    10.84    23.96    27.01	|	 29200.06 55136.82 79117.83	|	     5.81     9.62    57.89	|	 36717.60 61586.66 82877.45	|	    27.27     0.43    22.45	|
  2759.90	|	 32786.23 57310.87 80378.75	|	    10.60    23.87    26.99	|	 29275.15 55242.73 79701.13	|	     9.20    11.57    58.71	|	 36985.44 61585.72 83098.68	|	    26.28    -0.62    21.80	|
  2769.90	|	 32891.06 57549.10 80648.71	|	    10.37    23.77    27.01	|	 29383.95 55368.59 80291.04	|	    12.55    13.61    59.22	|	 37243.00 61574.41 83313.35	|	    25.22    -1.64    21.14	|
  2779.90	|	 32993.66 57786.27 80918.98	|	    10.15    23.66    27.05	|	 29526.09 55515.25 80884.47	|	    15.87    15.73    59.42	|	 37489.54 61552.97 83521.37	|	    24.08    -2.64    20.47	|
  2789.90	|	 33094.15 58022.27 81189.88	|	     9.95    23.54    27.13	|	 29701.21 55683.55 81478.37	|	    19.15    17.94    59.31	|	 37724.24 61521.66 83722.66	|	    22.85    -3.61    19.79	|
  2799.90	|	 33192.65 58256.97 81461.71	|	     9.75    23.40    27.24	|	 29908.98 55874.37 82069.66	|	    22.40    20.24    58.89	|	 37946.28 61480.79 83917.16	|	    21.54    -4.55    19.11	|
  2809.90	|	 33289.28 58490.26 81734.80	|	     9.57    23.25    27.38	|	 30149.03 56088.60 82655.16	|	    25.61    22.62    58.15	|	 38154.76 61430.72 84104.81	|	    20.14    -5.45    18.42	|
  2819.90	|	 33384.17 58721.98 82009.48	|	     9.41    23.09    27.56	|	 30421.01 56327.18 83231.55	|	    28.78    25.11    57.07	|	 38348.78 61371.88 84285.59	|	    18.65    -6.31    17.73	|
  2829.90	|	 33477.46 58952.00 82286.11	|	     9.25    22.91    27.77	|	 30724.48 56591.12 83795.24	|	    31.91    27.70    55.61	|	 38527.36 61304.74 84459.51	|	    17.05    -7.11    17.05	|
  2839.90	|	 33569.29 59180.16 82565.08	|	     9.12    22.72    28.03	|	 31058.94 56881.46 84342.32	|	    34.97    30.39    53.74	|	 38689.51 61229.86 84626.58	|	    15.36    -7.86    16.37	|
  2849.90	|	 33659.84 59406.28 82846.82	|	     9.00    22.50    28.33	|	 31423.71 57199.31 84868.41	|	    37.97    33.20    51.40	|	 38834.19 61147.86 84786.90	|	    13.56    -8.53    15.70	|
  2859.90	|	 33749.30 59630.17 83131.81	|	     8.90    22.27    28.68	|	 31817.90 57545.85 85368.53	|	    40.85    36.13    48.53	|	 38960.28 61059.45 84940.57	|	    11.64    -9.14    15.04	|
  2869.90	|	 33837.93 59851.63 83420.62	|	     8.83    22.02    29.09	|	 32240.23 57922.23 85836.94	|	    43.58    39.17    45.04	|	 39066.64 60965.43 85087.78	|	     9.61    -9.65    14.41	|
  2879.90	|	 33926.02 60070.46 83713.88	|	     8.79    21.74    29.57	|	 32688.84 58329.59 86266.86	|	    46.09    42.32    40.81	|	 39152.06 60866.70 85228.77	|	     7.45   -10.07    13.80	|
  2889.90	|	 34013.97 60286.46 84012.38	|	     8.81    21.45    30.14	|	 33160.94 58768.88 86650.25	|	    48.26    45.55    35.70	|	 39215.28 60764.30 85363.90	|	     5.17   -10.39    13.23	|
  2899.90	|	 34102.35 60499.46 84317.04	|	     8.88    21.15    30.81	|	 33652.34 59240.61 86977.40	|	    49.91    48.79    29.53	|	 39254.92 60659.40 85493.60	|	     2.74   -10.57    12.72	|
  2909.90	|	 34191.94 60709.35 84628.97	|	     9.05    20.83    31.60	|	 34156.56 59744.43 87236.67	|	    50.77    51.94    22.09	|	 39269.56 60553.34 85618.46	|	     0.16   -10.61    12.27	|
  2919.90	|	 34283.91 60916.19 84949.48	|	     9.37    20.54    32.53	|	 34663.54 60278.19 87414.21	|	    50.37    54.73    13.16	|	 39257.61 60447.72 85739.25	|	    -2.58   -10.48    11.91	|
  2929.90	|	 34379.99 61120.33 85280.05	|	     9.89    20.30    33.61	|	 35157.60 60836.44 87494.46	|	    48.04    56.74     2.63	|	 39217.39 60344.45 85856.93	|	    -5.49   -10.13    11.65	|
  2939.90	|	 34482.76 61322.66 85622.07	|	    10.73    20.19    34.81	|	 35614.68 61407.77 87462.20	|	    42.79    57.18    -9.25	|	 39147.13 60245.92 85972.69	|	    -8.59    -9.52    11.52	|
  2949.90	|	 34595.90 61524.99 85976.32	|	    11.98    20.32    36.02	|	 35999.98 61971.13 87308.57	|	    33.52    54.93   -21.35	|	 39045.09 60155.13 86087.87	|	   -11.84    -8.57    11.54	|
  2959.90	|	 34723.92 61730.27 86341.74	|	    13.69    20.80    36.99	|	 36270.13 62493.46 87042.94	|	    19.82    48.83   -31.09	|	 38909.84 60075.71 86203.84	|	   -15.22    -7.24    11.68	|
  2969.90	|	 34870.75 61942.15 86714.05	|	    15.69    21.63    37.35	|	 36386.76 62934.44 86706.53	|	     3.32    38.81   -34.95	|	 38740.50 60011.62 86321.95	|	   -18.65    -5.51    11.97	|
  2979.90	|	 35037.39 62163.35 87085.95	|	    17.58    22.61    36.90	|	 36340.23 63263.02 86370.40	|	   -12.09    26.83   -31.01	|	 38536.74 59966.90 86443.77	|	   -22.10    -3.36    12.43	|
  2989.90	|	 35220.81 62393.92 87450.00	|	    19.01    23.46    35.83	|	 36160.47 63474.20 86106.81	|	   -22.95    15.76   -20.98	|	 38298.72 59945.80 86571.41	|	   -25.49    -0.78    13.14	|
  2999.90	|	 35415.71 62631.47 87801.60	|	    19.89    23.99    34.47	|	 35899.24 63587.38 85959.01	|	   -28.47     7.37    -8.43	|	 38027.40 59952.98 86707.60	|	   -28.74     2.30    14.15	|
  3009.90	|	 35617.02 62872.62 88139.42	|	    20.31    24.19    33.11	|	 35605.07 63631.09 85937.26	|	   -29.80     1.81     3.90	|	 37724.95 59993.45 86855.47	|	   -31.69     5.88    15.48	|
  3019.90	|	 35820.95 63114.31 88464.10	|	    20.43    24.11    31.85	|	 35312.10 63630.99 86032.14	|	   -28.46    -1.51    14.79	|	 37395.04 60072.13 87018.25	|	   -34.20     9.93    17.13	|
  3029.90	|	 36024.92 63354.24 88776.98	|	    20.33    23.84    30.75	|	 35040.96 63606.08 86227.30	|	   -25.58    -3.26    23.96	|	 37042.95 60193.35 87198.89	|	   -36.11    14.37    19.04	|
  3039.90	|	 36227.12 63590.78 89079.51	|	    20.08    23.45    29.78	|	 34803.15 63569.25 86506.00	|	   -21.88    -3.97    31.54	|	 36675.26 60360.28 87399.67	|	   -37.31    19.05    21.14	|
  3049.90	|	 36426.23 63822.95 89373.00	|	    19.72    22.98    28.94	|	 34604.72 63528.86 86853.55	|	   -17.75    -4.02    37.77	|	 36299.24 60574.62 87622.01	|	   -37.77    23.82    23.33	|
  3059.90	|	 36621.20 64050.20 89658.65	|	    19.26    22.47    28.21	|	 34448.80 63490.09 87257.77	|	   -13.40    -3.69    42.91	|	 35922.18 60836.60 87866.28	|	   -37.53    28.56    25.51	|
  3069.90	|	 36811.23 64272.34 89937.50	|	    18.73    21.96    27.58	|	 34337.06 63455.70 87708.70	|	    -8.92    -3.18    47.14	|	 35550.56 61145.38 88131.89	|	   -36.71    33.18    27.59	|
  3079.90	|	 36995.68 64489.42 90210.50	|	    18.15    21.46    27.04	|	 34270.73 63426.28 88198.18	|	    -4.32    -2.74    50.64	|	 35189.44 61499.95 88417.48	|	   -35.47    37.74    29.50	|
  3089.90	|	 37174.09 64701.62 90478.51	|	    17.53    20.99    26.58	|	 34251.38 63399.21 88719.14	|	     0.49    -2.81    53.44	|	 34841.83 61900.98 88721.43	|	   -34.05    42.57    31.28	|
  3099.90	|	 37346.18 64909.22 90742.34	|	    16.88    20.54    26.20	|	 34281.62 63364.49 89263.58	|	     5.61    -4.63    55.17	|	 34508.10 62355.85 89043.72	|	   -32.72    48.86    33.34	|
  3109.90	|	 37511.76 65112.52 91002.71	|	    16.23    20.12    25.89	|	 34360.00 63287.40 89807.02	|	     9.06   -12.13    51.52	|	 34191.34 62896.81 89401.45	|	   -29.61    60.65    40.12	|
  3119.90	|	 37670.85 65311.80 91260.32	|	    15.59    19.74    25.64	|	 34414.52 63149.72 90247.36	|	     1.21   -11.24    37.92	|	 33964.99 63539.51 89890.95	|	   -15.10    63.60    56.25	|
  3129.90	|	 37823.60 65507.43 91515.77	|	    14.96    19.40    25.45	|	 34413.75 63081.62 90612.82	|	    -0.33    -3.09    36.16	|	 33858.34 64148.54 90476.74	|	    -7.30    58.86    59.85	|
  3139.90	|	 37970.16 65699.88 91769.58	|	    14.35    19.10    25.32	|	 34417.08 63076.76 90976.93	|	     1.16     1.77    36.74	|	 33809.42 64726.32 91079.94	|	    -2.67    56.97    60.64	|
  3149.90	|	 38110.68 65889.59 92022.23	|	    13.75    18.85    25.22	|	 34438.58 63112.45 91347.77	|	     3.17     5.22    37.42	|	 33802.79 65291.03 91687.91	|	     1.29    56.05    60.89	|
  3159.90	|	 38245.31 66076.97 92274.16	|	    13.17    18.63    25.17	|	 34480.75 63178.96 91724.90	|	     5.27     8.01    37.99	|	 33834.42 65848.20 92296.74	|	     5.00    55.40    60.83	|
  3169.90	|	 38374.23 66262.40 92525.77	|	    12.61    18.46    25.16	|	 34543.91 63271.41 92107.12	|	     7.36    10.44    38.43	|	 33902.18 66398.96 92903.67	|	     8.52    54.75    60.52	|
  3179.90	|	 38497.65 66446.20 92777.40	|	    12.08    18.31    25.18	|	 34627.91 63387.01 92493.23	|	     9.43    12.66    38.77	|	 34004.09 66942.81 93506.34	|	    11.83    54.01    59.98	|
  3189.90	|	 38615.81 66628.65 93029.38	|	    11.56    18.19    25.22	|	 34732.53 63524.11 92882.20	|	    11.49    14.75    39.01	|	 34138.00 67478.70 94102.67	|	    14.91    53.15    59.26	|
  3199.90	|	 38728.96 66809.96 93281.97	|	    11.07    18.08    25.30	|	 34857.69 63681.70 93273.09	|	    13.54    16.76    39.15	|	 34301.53 68005.46 94690.94	|	    17.75    52.18    58.37	|
  3209.90	|	 38837.33 66990.30 93535.40	|	    10.61    17.99    25.39	|	 35003.44 63859.25 93665.00	|	    15.61    18.75    39.21	|	 34492.20 68522.02 95269.73	|	    20.34    51.11    57.37	|
  3219.90	|	 38941.17 67169.77 93789.87	|	    10.16    17.91    25.50	|	 35170.00 64056.60 94057.06	|	    17.71    20.73    39.19	|	 34707.44 69027.46 95837.96	|	    22.67    49.96    56.27	|
  3229.90	|	 39040.67 67348.43 94045.54	|	     9.74    17.83    25.63	|	 35357.80 64273.89 94448.40	|	    19.86    22.74    39.07	|	 34944.74 69521.11 96394.84	|	    24.75    48.76    55.10	|
  3239.90	|	 39136.02 67526.28 94302.57	|	     9.33    17.74    25.78	|	 35567.50 64511.59 94838.03	|	    22.09    24.81    38.84	|	 35201.66 70002.47 96939.83	|	    26.59    47.51    53.89	|
  3249.90	|	 39227.36 67703.27 94561.09	|	     8.94    17.65    25.93	|	 35800.02 64770.46 95224.90	|	    24.43    26.98    38.51	|	 35475.90 70471.23 97472.63	|	    28.22    46.24    52.66	|
  3259.90	|	 39314.77 67879.30 94821.25	|	     8.55    17.55    26.10	|	 36056.62 65051.66 95607.70	|	    26.92    29.29    38.03	|	 35765.31 70927.24 97993.09	|	    29.63    44.96    51.43	|
  3269.90	|	 39398.28 68054.22 95083.21	|	     8.16    17.43    26.29	|	 36338.97 65356.83 95984.85	|	    29.59    31.78    37.37	|	 36067.91 71370.46 98501.23	|	    30.86    43.68    50.20	|
  3279.90	|	 39477.86 68227.79 95347.15	|	     7.76    17.28    26.50	|	 36649.34 65688.22 96354.27	|	    32.53    34.54    36.47	|	 36381.92 71800.98 98997.14	|	    31.91    42.42    48.99	|
  3289.90	|	 39553.35 68399.68 95613.35	|	     7.34    17.09    26.74	|	 36990.80 66048.96 96713.12	|	    35.83    37.68    35.23	|	 36705.68 72218.93 99481.04	|	    32.81    41.17    47.80	|
  3299.90	|	 39624.48 68569.43 95882.19	|	     6.88    16.85    27.03	|	 37367.59 66443.53 97057.22	|	    39.63    41.35    33.48	|	 37037.73 72624.54 99953.17	|	    33.57    39.95    46.64	|
  3309.90	|	 39690.77 68736.34 96154.30	|	     6.36    16.52    27.41	|	 37785.89 66878.62 97380.02	|	    44.18    45.84    30.89	|	 37376.76 73018.05100413.85	|	    34.21    38.76    45.51	|
  3319.90	|	 39751.38 68899.32 96430.79	|	     5.74    16.05    27.93	|	 38255.14 67364.88 97670.01	|	    49.92    51.71    26.74	|	 37721.58 73399.74100863.41	|	    34.74    37.59    44.41	|
  3329.90	|	 39804.85 69056.44 96713.97	|	     4.91    15.31    28.80	|	 38791.10 67921.36 97903.57	|	    57.73    60.20    19.07	|	 38071.16 73769.90101302.18	|	    35.16    36.45    43.35	|
  3339.90	|	 39848.37 69203.57 97010.25	|	     3.70    13.95    30.81	|	 39422.84 68588.95 98015.94	|	    69.48    74.98    -0.19	|	 38424.57 74128.83101730.50	|	    35.51    35.34    42.32	|
  3349.90	|	 39882.71 69331.12 97356.52	|	     6.00    12.61    42.85	|	 40141.36 69461.36 97635.73	|	    45.44    88.35  -119.63	|	 38781.02 74476.86102148.72	|	    35.77    34.27    41.33	|
  3359.90	|	 40041.31 69545.82 97748.93	|	    17.15    24.21    33.09	|	 39625.56 69465.50 96817.90	|	   -63.97   -26.31   -19.88	|	 39139.78 74814.34102557.15	|	    35.97    33.23    40.37	|
  3369.90	|	 40202.27 69784.93 98062.16	|	    15.25    23.60    30.21	|	 39091.10 69237.75 96800.69	|	   -45.04   -19.17     9.89	|	 39500.23 75141.64102956.16	|	    36.11    32.23    39.44	|
  3379.90	|	 40349.04 70018.42 98358.78	|	    14.19    23.13    29.25	|	 38697.70 69076.08 96958.45	|	   -34.47   -13.48    20.34	|	 39861.85 75459.07103346.08	|	    36.20    31.26    38.55	|
  3389.90	|	 40487.15 70247.98 98648.73	|	    13.48    22.80    28.79	|	 38390.33 68963.40 97191.68	|	   -27.39    -9.24    25.83	|	 40224.17 75766.98103727.22	|	    36.25    30.32    37.68	|
  3399.90	|	 40619.15 70474.69 98935.20	|	    12.95    22.56    28.53	|	 38143.95 68888.33 97468.28	|	   -22.10    -5.89    29.26	|	 40586.77 76065.66104099.84	|	    36.26    29.42    36.85	|
  3409.90	|	 40746.44 70699.25 99219.63	|	    12.53    22.36    28.37	|	 37944.75 68843.78 97773.42	|	   -17.87    -3.10    31.63	|	 40949.26 76355.42104464.23	|	    36.23    28.54    36.03	|
  3419.90	|	 40869.92 70922.10 99502.83	|	    12.18    22.21    28.28	|	 37784.17 68825.08 98098.91	|	   -14.34    -0.70    33.38	|	 41311.29 76636.53104820.61	|	    36.17    27.69    35.25	|
  3429.90	|	 40990.20 71143.52 99785.28	|	    11.88    22.08    28.22	|	 37656.44 68828.96 98439.66	|	   -11.28     1.43    34.72	|	 41672.52 76909.26105169.22	|	    36.07    26.86    34.48	|
  3439.90	|	 41107.72 71363.74100067.29	|	    11.63    21.97    28.19	|	 37557.47 68853.03 98792.30	|	    -8.57     3.35    35.77	|	 42032.64 77173.87105510.28	|	    35.95    26.06    33.74	|
  3449.90	|	 41222.81 71582.91100349.09	|	    11.40    21.87    28.17	|	 37484.23 68895.51 99154.41	|	    -6.12     5.12    36.62	|	 42391.38 77430.60105844.00	|	    35.80    25.29    33.01	|
  3459.90	|	 41335.72 71801.14100630.83	|	    11.19    21.78    28.18	|	 37434.42 68955.02 99524.23	|	    -3.87     6.77    37.32	|	 42748.46 77679.67106170.59	|	    35.62    24.53    32.31	|
  3469.90	|	 41446.66 72018.53100912.63	|	    11.00    21.70    28.19	|	 37406.26 69030.50 99900.39	|	    -1.78     8.32    37.89	|	 43103.64 77921.31106490.23	|	    35.41    23.80    31.62	|
  3479.90	|	 41555.79 72235.12101194.58	|	    10.83    21.62    28.21	|	 37398.35 69121.11100281.80	|	     0.18     9.79    38.37	|	 43456.68 78155.73106803.10	|	    35.19    23.09    30.96	|
  3489.90	|	 41663.25 72450.97101476.75	|	    10.67    21.55    28.23	|	 37409.58 69226.19100667.58	|	     2.05    11.21    38.77	|	 43807.37 78383.12107109.39	|	    34.94    22.40    30.31	|
  3499.90	|	 41769.13 72666.10101759.20	|	    10.51    21.48    28.26	|	 37439.07 69345.25101057.00	|	     3.84    12.59    39.10	|	 44155.49 78603.69107409.27	|	    34.68    21.72    29.67	|
  3509.90	|	 41873.54 72880.55102041.98	|	    10.37    21.41    28.29	|	 37486.14 69477.91101449.43	|	     5.57    13.94    39.37	|	 44500.85 78817.62107702.90	|	    34.39    21.07    29.06	|
  3519.90	|	 41976.54 73094.30102325.12	|	    10.23    21.34    28.33	|	 37550.24 69623.88101844.31	|	     7.25    15.26    39.59	|	 44843.27 79025.08107990.44	|	    34.09    20.43    28.46	|
  3529.90	|	 42078.19 73307.38102608.65	|	    10.10    21.27    28.37	|	 37630.98 69783.01102241.14	|	     8.90    16.57    39.77	|	 45182.58 79226.25108272.05	|	    33.77    19.81    27.87	|
  3539.90	|	 42178.53 73519.76102892.61	|	     9.97    21.20    28.42	|	 37728.08 69955.19102639.47	|	    10.52    17.87    39.89	|	 45518.60 79421.30108547.88	|	    33.43    19.20    27.30	|
  3549.90	|	 42277.60 73731.43103177.03	|	     9.84    21.13    28.47	|	 37841.37 70140.42103038.86	|	    12.14    19.18    39.98	|	 45851.18 79610.37108818.07	|	    33.08    18.61    26.74	|
  3559.90	|	 42375.41 73942.38103461.93	|	     9.72    21.06    28.52	|	 37970.80 70338.78103438.88	|	    13.75    20.50    40.02	|	 46180.17 79793.63109082.77	|	    32.71    18.04    26.20	|
  3569.90	|	 42471.99 74152.56103747.35	|	     9.60    20.98    28.57	|	 38116.39 70550.45103839.14	|	    15.37    21.84    40.02	|	 46505.42 79971.22109342.11	|	    32.33    17.48    25.67	|
  3579.90	|	 42567.32 74361.94104033.31	|	     9.47    20.90    28.62	|	 38278.31 70775.67104239.18	|	    17.02    23.21    39.98	|	 46826.80 80143.29109596.23	|	    31.94    16.94    25.16	|
  3589.90	|	 42661.39 74570.47104319.84	|	     9.34    20.81    28.68	|	 38456.81 71014.82104638.57	|	    18.69    24.62    39.89	|	 47144.17 80309.98109845.27	|	    31.53    16.40    24.65	|
  3599.90	|	 42754.19 74778.09104606.98	|	     9.21    20.71    28.75	|	 38652.27 71268.35105036.82	|	    20.41    26.09    39.75	|	 47457.40 80471.41110089.34	|	    31.11    15.89    24.16	|
